Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.00,-116.68546968,32.72749171,64.00,0.00000,0.00000,0.00000
0.00,-116.68546968,32.72749171,64.00,0.00000,0.00000,0.00000
0.10,-116.68536289,32.72749171,74.00,0.00000,0.00000,0.00000
0.10,-116.68536289,32.72749171,74.00,0.00000,0.00000,0.00000
0.20,-116.68525611,32.72758154,84.00,0.00000,0.00000,0.00000
0.20,-116.68525611,32.72758154,84.00,0.00000,0.00000,0.00000
0.30,-116.68514933,32.72767138,94.00,0.00000,0.00000,0.00000
0.30,-116.68514933,32.72767138,94.00,0.00000,0.00000,0.00000
0.40,-116.68504255,32.72767138,94.00,0.00000,0.00000,0.00000
0.40,-116.68504255,32.72767138,94.00,0.00000,0.00000,0.00000
0.50,-116.68504255,32.72776121,104.00,0.00000,0.00000,0.00000
0.50,-116.68504255,32.72776121,104.00,0.00000,0.00000,0.00000
0.60,-116.68493576,32.72785104,114.00,0.00000,0.00000,0.00000
0.60,-116.68493576,32.72785104,114.00,0.00000,0.00000,0.00000
0.70,-116.68482898,32.72785104,124.00,0.00000,0.00000,0.00000
0.70,-116.68482898,32.72785104,124.00,0.00000,0.00000,0.00000
0.80,-116.68472220,32.72794087,124.00,0.00000,0.00000,0.00000
0.80,-116.68472220,32.72794087,124.00,0.00000,0.00000,0.00000
0.90,-116.68461542,32.72803070,134.00,0.00000,0.00000,0.00000
0.90,-116.68461542,32.72803070,134.00,0.00000,0.00000,0.00000
1.00,-116.68450864,32.72803070,144.00,0.00000,0.00000,0.00000
1.00,-116.68450864,32.72803070,144.00,0.00000,0.00000,0.00000
1.10,-116.68450864,32.72812053,154.00,0.00000,0.00000,0.00000
1.10,-116.68450864,32.72812053,154.00,0.00000,0.00000,0.00000
1.20,-116.68440185,32.72821036,154.00,0.00000,0.00000,0.00000
1.20,-116.68440185,32.72821036,154.00,0.00000,0.00000,0.00000
1.30,-116.68429507,32.72821036,164.00,0.00000,0.00000,0.00000
1.30,-116.68429507,32.72821036,164.00,0.00000,0.00000,0.00000
1.40,-116.68418829,32.72830019,174.00,0.00000,0.00000,0.00000
1.40,-116.68418829,32.72830019,174.00,0.00000,0.00000,0.00000
1.50,-116.68408151,32.72830019,184.00,0.00000,0.00000,0.00000
1.50,-116.68408151,32.72830019,184.00,0.00000,0.00000,0.00000
1.60,-116.68408151,32.72839002,194.00,0.00000,0.00000,0.00000
1.60,-116.68408151,32.72839002,194.00,0.00000,0.00000,0.00000
1.70,-116.68397472,32.72847986,194.00,0.00000,0.00000,0.00000
1.70,-116.68397472,32.72847986,194.00,0.00000,0.00000,0.00000
1.80,-116.68386794,32.72847986,204.00,0.00000,0.00000,0.00000
1.80,-116.68386794,32.72847986,204.00,0.00000,0.00000,0.00000
1.90,-116.68376116,32.72856969,214.00,0.00000,0.00000,0.00000
1.90,-116.68376116,32.72856969,214.00,0.00000,0.00000,0.00000
2.00,-116.68365438,32.72865952,224.00,0.00000,0.00000,0.00000
2.00,-116.68365438,32.72865952,224.00,0.00000,0.00000,0.00000
2.10,-116.68365438,32.72865952,224.00,0.00000,0.00000,0.00000
2.10,-116.68365438,32.72865952,224.00,0.00000,0.00000,0.00000
2.20,-116.68354759,32.72874935,234.00,0.00000,0.00000,0.00000
2.20,-116.68354759,32.72874935,234.00,0.00000,0.00000,0.00000
2.30,-116.68344081,32.72883918,244.00,0.00000,0.00000,0.00000
2.30,-116.68344081,32.72883918,244.00,0.00000,0.00000,0.00000
2.40,-116.68333403,32.72883918,254.00,0.00000,0.00000,0.00000
2.40,-116.68333403,32.72883918,254.00,0.00000,0.00000,0.00000
2.50,-116.68322725,32.72892901,254.00,0.00000,0.00000,0.00000
2.50,-116.68322725,32.72892901,254.00,0.00000,0.00000,0.00000
2.60,-116.68322725,32.72901884,264.00,0.00000,0.00000,0.00000
2.60,-116.68322725,32.72901884,264.00,0.00000,0.00000,0.00000
2.70,-116.68312046,32.72901884,274.00,0.00000,0.00000,0.00000
2.70,-116.68312046,32.72901884,274.00,0.00000,0.00000,0.00000
2.80,-116.68301368,32.72910867,284.00,0.00000,0.00000,0.00000
2.80,-116.68301368,32.72910867,284.00,0.00000,0.00000,0.00000
2.90,-116.68290690,32.72919850,294.00,0.00000,0.00000,0.00000
2.90,-116.68290690,32.72919850,294.00,0.00000,0.00000,0.00000
3.00,-116.68280012,32.72919850,294.00,0.00000,0.00000,0.00000
3.00,-116.68280012,32.72919850,294.00,0.00000,0.00000,0.00000
3.10,-116.68280012,32.72928834,304.00,0.00000,0.00000,0.00000
3.10,-116.68280012,32.72928834,304.00,0.00000,0.00000,0.00000
3.20,-116.68269333,32.72928834,314.00,0.00000,0.00000,0.00000
3.20,-116.68269333,32.72928834,314.00,0.00000,0.00000,0.00000
3.30,-116.68258655,32.72937817,324.00,0.00000,0.00000,0.00000
3.30,-116.68258655,32.72937817,324.00,0.00000,0.00000,0.00000
3.40,-116.68247977,32.72946800,324.00,0.00000,0.00000,0.00000
3.40,-116.68247977,32.72946800,324.00,0.00000,0.00000,0.00000
3.50,-116.68237299,32.72946800,334.00,0.00000,0.00000,0.00000
3.50,-116.68237299,32.72946800,334.00,0.00000,0.00000,0.00000
3.60,-116.68237299,32.72955783,344.00,0.00000,0.00000,0.00000
3.60,-116.68237299,32.72955783,344.00,0.00000,0.00000,0.00000
3.70,-116.68226620,32.72964766,354.00,0.00000,0.00000,0.00000
3.70,-116.68226620,32.72964766,354.00,0.00000,0.00000,0.00000
3.80,-116.68215942,32.72964766,354.00,0.00000,0.00000,0.00000
3.80,-116.68215942,32.72964766,354.00,0.00000,0.00000,0.00000
3.90,-116.68205264,32.72973749,364.00,0.00000,0.00000,0.00000
3.90,-116.68205264,32.72973749,364.00,0.00000,0.00000,0.00000
4.00,-116.68194586,32.72982732,374.00,0.00000,0.00000,0.00000
4.00,-116.68194586,32.72982732,374.00,0.00000,0.00000,0.00000
4.10,-116.68194586,32.72982732,384.00,0.00000,0.00000,0.00000
4.10,-116.68194586,32.72982732,384.00,0.00000,0.00000,0.00000
4.20,-116.68183908,32.72991715,394.00,0.00000,0.00000,0.00000
4.20,-116.68183908,32.72991715,394.00,0.00000,0.00000,0.00000
4.30,-116.68173229,32.73000698,394.00,0.00000,0.00000,0.00000
4.30,-116.68173229,32.73000698,394.00,0.00000,0.00000,0.00000
4.40,-116.68162551,32.73000698,404.00,0.00000,0.00000,0.00000
4.40,-116.68162551,32.73000698,404.00,0.00000,0.00000,0.00000
4.50,-116.68151873,32.73009682,414.00,0.00000,0.00000,0.00000
4.50,-116.68151873,32.73009682,414.00,0.00000,0.00000,0.00000
4.60,-116.68151873,32.73018665,424.00,0.00000,0.00000,0.00000
4.60,-116.68151873,32.73018665,424.00,0.00000,0.00000,0.00000
4.70,-116.68141195,32.73018665,424.00,0.00000,0.00000,0.00000
4.70,-116.68141195,32.73018665,424.00,0.00000,0.00000,0.00000
4.80,-116.68130516,32.73027648,434.00,0.00000,0.00000,0.00000
4.80,-116.68130516,32.73027648,434.00,0.00000,0.00000,0.00000
4.90,-116.68119838,32.73027648,444.00,0.00000,0.00000,0.00000
4.90,-116.68119838,32.73027648,444.00,0.00000,0.00000,0.00000
5.00,-116.68109160,32.73036631,454.00,0.00000,0.00000,0.00000
5.00,-116.68109160,32.73036631,454.00,0.00000,0.00000,0.00000
5.10,-116.68109160,32.73045614,454.00,0.00000,0.00000,0.00000
5.10,-116.68109160,32.73045614,454.00,0.00000,0.00000,0.00000
5.20,-116.68098482,32.73045614,464.00,0.00000,0.00000,0.00000
5.20,-116.68098482,32.73045614,464.00,0.00000,0.00000,0.00000
5.30,-116.68087803,32.73054597,474.00,0.00000,0.00000,0.00000
5.30,-116.68087803,32.73054597,474.00,0.00000,0.00000,0.00000
5.40,-116.68077125,32.73063580,484.00,0.00000,0.00000,0.00000
5.40,-116.68077125,32.73063580,484.00,0.00000,0.00000,0.00000
5.50,-116.68066447,32.73063580,494.00,0.00000,0.00000,0.00000
5.50,-116.68066447,32.73063580,494.00,0.00000,0.00000,0.00000
5.60,-116.68066447,32.73072563,494.00,0.00000,0.00000,0.00000
5.60,-116.68066447,32.73072563,494.00,0.00000,0.00000,0.00000
5.70,-116.68055769,32.73081546,504.00,0.00000,0.00000,0.00000
5.70,-116.68055769,32.73081546,504.00,0.00000,0.00000,0.00000
5.80,-116.68045090,32.73081546,514.00,0.00000,0.00000,0.00000
5.80,-116.68045090,32.73081546,514.00,0.00000,0.00000,0.00000
5.90,-116.68034412,32.73090530,524.00,0.00000,0.00000,0.00000
5.90,-116.68034412,32.73090530,524.00,0.00000,0.00000,0.00000
6.00,-116.68023734,32.73099513,524.00,0.00000,0.00000,0.00000
6.00,-116.68023734,32.73099513,524.00,0.00000,0.00000,0.00000
6.10,-116.68023734,32.73099513,534.00,0.00000,0.00000,0.00000
6.10,-116.68023734,32.73099513,534.00,0.00000,0.00000,0.00000
6.20,-116.68013056,32.73108496,544.00,0.00000,0.00000,0.00000
6.20,-116.68013056,32.73108496,544.00,0.00000,0.00000,0.00000
6.30,-116.68002377,32.73117479,554.00,0.00000,0.00000,0.00000
6.30,-116.68002377,32.73117479,554.00,0.00000,0.00000,0.00000
6.40,-116.67991699,32.73117479,554.00,0.00000,0.00000,0.00000
6.40,-116.67991699,32.73117479,554.00,0.00000,0.00000,0.00000
6.50,-116.67981021,32.73126462,564.00,0.00000,0.00000,0.00000
6.50,-116.67981021,32.73126462,564.00,0.00000,0.00000,0.00000
6.60,-116.67981021,32.73126462,574.00,0.00000,0.00000,0.00000
6.60,-116.67981021,32.73126462,574.00,0.00000,0.00000,0.00000
6.70,-116.67970343,32.73135445,584.00,0.00000,0.00000,0.00000
6.70,-116.67970343,32.73135445,584.00,0.00000,0.00000,0.00000
6.80,-116.67959665,32.73144428,594.00,0.00000,0.00000,0.00000
6.80,-116.67959665,32.73144428,594.00,0.00000,0.00000,0.00000
6.90,-116.67948986,32.73144428,594.00,0.00000,0.00000,0.00000
6.90,-116.67948986,32.73144428,594.00,0.00000,0.00000,0.00000
7.00,-116.67938308,32.73153411,604.00,0.00000,0.00000,0.00000
7.00,-116.67938308,32.73153411,604.00,0.00000,0.00000,0.00000
7.10,-116.67938308,32.73162394,614.00,0.00000,0.00000,0.00000
7.10,-116.67938308,32.73162394,614.00,0.00000,0.00000,0.00000
7.20,-116.67927630,32.73162394,624.00,0.00000,0.00000,0.00000
7.20,-116.67927630,32.73162394,624.00,0.00000,0.00000,0.00000
7.30,-116.67916952,32.73171378,624.00,0.00000,0.00000,0.00000
7.30,-116.67916952,32.73171378,624.00,0.00000,0.00000,0.00000
7.40,-116.67906273,32.73180361,634.00,0.00000,0.00000,0.00000
7.40,-116.67906273,32.73180361,634.00,0.00000,0.00000,0.00000
7.50,-116.67895595,32.73180361,644.00,0.00000,0.00000,0.00000
7.50,-116.67895595,32.73180361,644.00,0.00000,0.00000,0.00000
7.60,-116.67895595,32.73189344,654.00,0.00000,0.00000,0.00000
7.60,-116.67895595,32.73189344,654.00,0.00000,0.00000,0.00000
7.70,-116.67884917,32.73198327,654.00,0.00000,0.00000,0.00000
7.70,-116.67884917,32.73198327,654.00,0.00000,0.00000,0.00000
7.80,-116.67874239,32.73198327,664.00,0.00000,0.00000,0.00000
7.80,-116.67874239,32.73198327,664.00,0.00000,0.00000,0.00000
7.90,-116.67863560,32.73207310,674.00,0.00000,0.00000,0.00000
7.90,-116.67863560,32.73207310,674.00,0.00000,0.00000,0.00000
8.00,-116.67852882,32.73216293,684.00,0.00000,0.00000,0.00000
8.00,-116.67852882,32.73216293,684.00,0.00000,0.00000,0.00000
8.10,-116.67852882,32.73216293,694.00,0.00000,0.00000,0.00000
8.10,-116.67852882,32.73216293,694.00,0.00000,0.00000,0.00000
8.20,-116.67842204,32.73225276,694.00,0.00000,0.00000,0.00000
8.20,-116.67842204,32.73225276,694.00,0.00000,0.00000,0.00000
8.30,-116.67831526,32.73225276,704.00,0.00000,0.00000,0.00000
8.30,-116.67831526,32.73225276,704.00,0.00000,0.00000,0.00000
8.40,-116.67820847,32.73234259,714.00,0.00000,0.00000,0.00000
8.40,-116.67820847,32.73234259,714.00,0.00000,0.00000,0.00000
8.50,-116.67810169,32.73243242,724.00,0.00000,0.00000,0.00000
8.50,-116.67810169,32.73243242,724.00,0.00000,0.00000,0.00000
8.60,-116.67799491,32.73243242,724.00,0.00000,0.00000,0.00000
8.60,-116.67799491,32.73243242,724.00,0.00000,0.00000,0.00000
8.70,-116.67799491,32.73252226,734.00,0.00000,0.00000,0.00000
8.70,-116.67799491,32.73252226,734.00,0.00000,0.00000,0.00000
8.80,-116.67788813,32.73261209,744.00,0.00000,0.00000,0.00000
8.80,-116.67788813,32.73261209,744.00,0.00000,0.00000,0.00000
8.90,-116.67778134,32.73261209,754.00,0.00000,0.00000,0.00000
8.90,-116.67778134,32.73261209,754.00,0.00000,0.00000,0.00000
9.00,-116.67767456,32.73270192,754.00,0.00000,0.00000,0.00000
9.00,-116.67767456,32.73270192,754.00,0.00000,0.00000,0.00000
9.10,-116.67756778,32.73279175,764.00,0.00000,0.00000,0.00000
9.10,-116.67756778,32.73279175,764.00,0.00000,0.00000,0.00000
9.20,-116.67756778,32.73279175,774.00,0.00000,0.00000,0.00000
9.20,-116.67756778,32.73279175,774.00,0.00000,0.00000,0.00000
9.30,-116.67746100,32.73288158,784.00,0.00000,0.00000,0.00000
9.30,-116.67746100,32.73288158,784.00,0.00000,0.00000,0.00000
9.40,-116.67735421,32.73297141,794.00,0.00000,0.00000,0.00000
9.40,-116.67735421,32.73297141,794.00,0.00000,0.00000,0.00000
9.50,-116.67724743,32.73297141,794.00,0.00000,0.00000,0.00000
9.50,-116.67724743,32.73297141,794.00,0.00000,0.00000,0.00000
9.60,-116.67714065,32.73306124,804.00,0.00000,0.00000,0.00000
9.60,-116.67714065,32.73306124,804.00,0.00000,0.00000,0.00000
9.70,-116.67714065,32.73315107,814.00,0.00000,0.00000,0.00000
9.70,-116.67714065,32.73315107,814.00,0.00000,0.00000,0.00000
9.80,-116.67703387,32.73315107,824.00,0.00000,0.00000,0.00000
9.80,-116.67703387,32.73315107,824.00,0.00000,0.00000,0.00000
9.90,-116.67692709,32.73324090,824.00,0.00000,0.00000,0.00000
9.90,-116.67692709,32.73324090,824.00,0.00000,0.00000,0.00000
10.00,-116.67682030,32.73324090,834.00,0.00000,0.00000,0.00000
10.00,-116.67682030,32.73324090,834.00,0.00000,0.00000,0.00000
